id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
58038,Duke Energy,Vicente Sánchez,https://investors.duke-energy.com/events-and-presentations/default.aspx,https://investors.duke-energy.com/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001326160,use-sec
2702,Dycom Industries,Martina Pino,https://dycomind.com/investors/news/,,0,fetch-error,timeout,1,0,0,0000067215,use-sec
35264,Dye & Durham,Gisela Pollanco,https://dyedurham.com/investors/financial-reports/?_sft_financial_year=2026,https://dyedurham.com/investors/financial-reports/?_sft_financial_year=2026,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
2375,E.W. Scripps Company,Cata Rifo,https://ir.scripps.com/,,0,fetch-error,timeout,0,0,0,0000832428,use-sec
58095,EBRD,Muhammad Danish Noramri,https://www.ebrd.com/home/corporate-and-investor-information.html,https://www.ebrd.com/home/corporate-and-investor-information.html,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
1164,EDP,Neil McShane,http://www.edp.pt/,https://www.edp.pt/particulares/,200,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
58250,ENBW,Christina Rankin,https://www.enbw.com/investors/events/financial-calendar/,https://www.enbw.com/investors/events/financial-calendar/,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
3017,EOLO,Bryan McManus,http://eolo.it/,https://www.eolo.it/,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
3265,EP Infrastructure,Mark Joseph,https://www.epinfrastructure.cz/en/tiskove-zpravy/invitation-to-the-full-year-2025-results-conference-call/,https://www.epinfrastructure.cz/en/tiskove-zpravy/invitation-to-the-full-year-2025-results-conference-call/,200,ir-page-no-calendar,IR content but no calendar keywords,2,0,0,,use-rss
980,EVOCA,Christina Rankin,https://www.evocagroup.com/en/investors,https://www.evocagroup.com/en/investors,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
58090,Eaton Corporation,Peter Megarity,https://www.eaton.com/ie/en-gb/company/investor-relations/financial-presentations-webcasts.html,,0,fetch-error,timeout,0,0,0,0001551182,use-sec
12625,Echostar,Rafael Alamo,"https://ir.echostar.com/press-releases 
 https://ir.echostar.com/events-and-presentations",,0,fetch-error,timeout,0,0,0,0001415404,use-sec
